,me_ce,ee_ce,l_chemo,lin_sat_cf,ve_dir,ve_der,ve_sec,n_regions,mean_l_area,std_l_area,len_network,mean_n_width,std_n_width
sim_110,4.0,4.44,13.79,0.1,1.0,0.3,0.3,1.0,2454.0,0.0,1861.0,5.9525316265556185,2.847349552757073
sim_111,4.0,3.53,31.18,0.1,1.0,0.3,0.3,0.0,0.0,0.0,1924.0,6.0568716104224,2.987041078218924
sim_112,4.0,6.99,14.04,0.1,1.0,0.3,0.3,8.0,346.375,236.44816424535844,2759.0,4.045901858756523,1.9286889042646937
sim_113,4.0,7.54,51.69,0.1,1.0,0.3,0.3,23.0,706.0869565217391,472.24799242729114,3072.0,3.6778987079348853,1.6815330153377608
sim_114,4.0,1.42,288.06,0.1,1.0,0.3,0.3,41.0,495.0975609756098,385.0574112960964,3547.0,2.5614222692083994,1.0462310767667282
sim_115,4.0,13.63,321.7,0.1,1.0,0.3,0.3,61.0,347.24590163934425,332.1549932371689,4594.0,1.8892909904027766,0.7381456824884682
sim_116,4.0,11.18,483.15,0.1,1.0,0.3,0.3,66.0,356.1969696969697,295.20825826591135,4500.0,1.7616268594975832,0.6503022605826498
sim_117,4.0,5.74,485.97,0.1,1.0,0.3,0.3,62.0,376.14516129032256,253.4413367749316,4072.0,1.8787215301421543,0.6458441344256914
sim_118,4.0,13.74,311.46,0.1,1.0,0.3,0.3,62.0,328.83870967741933,319.54843105839757,4711.0,1.8972224258761103,0.7339852097620895
sim_119,4.0,13.78,513.22,0.1,1.0,0.3,0.3,61.0,367.4918032786885,224.4729800783889,4589.0,1.666983032205902,0.6116715414230982
sim_90,4.0,8.91,40.08,0.1,1.0,0.3,0.3,20.0,720.85,1059.4856900874122,3567.0,3.1575425951451686,1.4550301966297323
sim_91,4.0,3.89,101.16,0.1,1.0,0.3,0.3,27.0,672.3333333333334,883.3679238510355,2678.0,4.202221467263049,1.8549023145931414
sim_92,4.0,9.81,141.83,0.1,1.0,0.3,0.3,53.0,358.1320754716981,262.6413034048205,3819.0,2.643459305358001,1.0741429240871876
sim_93,4.0,8.02,279.71,0.1,1.0,0.3,0.3,62.0,324.5483870967742,258.5949427828828,4081.0,2.2336482231669987,0.8681997311635195
sim_94,4.0,9.98,26.76,0.1,1.0,0.3,0.3,0.0,0.0,0.0,2965.0,2.1847027905291476,0.936477121996108
sim_95,4.0,8.73,416.65,0.1,1.0,0.3,0.3,64.0,352.28125,306.42752348383704,4167.0,1.9517771840927292,0.7359740051809204
sim_96,4.0,5.94,557.27,0.1,1.0,0.3,0.3,61.0,384.59016393442624,299.34958876987696,4057.0,1.8041872782915587,0.6505705257670522
sim_97,4.0,5.37,519.68,0.1,1.0,0.3,0.3,64.0,352.125,259.5770899463202,4010.0,1.8698519224349281,0.6974573862414553
sim_98,4.0,1.21,255.99,0.1,1.0,0.3,0.3,39.0,514.4358974358975,352.7683771855739,3301.0,2.814956630386512,1.1731288190115585
sim_99,4.0,1.69,400.03,0.1,1.0,0.3,0.3,50.0,486.28,392.20805907069274,3821.0,2.2207535794138376,0.8592061566987634
sim_170,4.0,4.15,61.57,0.1,1.0,0.3,0.3,20.0,729.85,498.8189325797489,2380.0,4.704350239858733,1.923476303375907
sim_171,4.0,5.01,103.72,0.1,1.0,0.3,0.3,35.0,589.3714285714286,490.27561261654716,2837.0,3.757290496530893,1.6411836183888706
sim_172,4.0,8.1,97.8,0.1,1.0,0.3,0.3,42.0,450.6904761904762,274.71183933569705,3484.0,3.0957745366300977,1.3179816162377833
sim_173,4.0,14.93,108.35,0.1,1.0,0.3,0.3,1.0,17.0,0.0,3382.0,2.0632107912508304,0.8629250523684505
