,me_ce,ee_ce,l_chemo,lin_sat_cf,ve_dir,ve_der,ve_sec,n_regions,mean_l_area,std_l_area,len_network,mean_n_width,std_n_width
sim_110,4.0,1.0,500.0,0.1,1.0,0.41,0.3,68.0,343.3235294117647,277.88928398239676,4290.0,1.8243828065174426,0.6641470053741184
sim_111,4.0,1.0,500.0,0.1,1.0,0.43,0.3,84.0,278.1309523809524,222.61400395356043,4443.0,1.7777295387390213,0.6190552005939296
sim_112,4.0,1.0,500.0,0.1,1.0,0.45,0.3,85.0,259.21176470588233,221.71991309215255,4533.0,1.780377086345601,0.6683010407491015
sim_113,4.0,1.0,500.0,0.1,1.0,0.47,0.3,91.0,259.3736263736264,210.02316190173184,4538.0,1.7670119773339656,0.6384652076372951
sim_114,4.0,1.0,500.0,0.1,1.0,0.49,0.3,80.0,287.7125,217.16705515282467,4508.0,1.7911936618351092,0.6648492731082558
sim_115,4.0,1.0,500.0,0.1,1.0,0.51,0.3,96.0,249.16666666666666,188.06634836910322,4637.0,1.728894497961723,0.5902766390652051
sim_116,4.0,1.0,500.0,0.1,1.0,0.55,0.3,90.0,240.94444444444446,192.51818737235138,4691.0,1.7316765037012902,0.6310521203335575
sim_117,4.0,1.0,500.0,0.1,1.0,0.53,0.3,93.0,243.30107526881721,171.90030775218352,4881.0,1.6956382238123737,0.5986398841830874
sim_118,4.0,1.0,500.0,0.1,1.0,0.57,0.3,105.0,213.26666666666668,180.1254730229626,4873.0,1.690025422996031,0.6067216966408894
sim_119,4.0,1.0,500.0,0.1,1.0,0.59,0.3,92.0,237.1304347826087,175.1560309001107,4894.0,1.669986303970825,0.5850869871699296
sim_90,4.0,1.0,500.0,0.1,1.0,0.05,0.3,3.0,2366.3333333333335,1769.234548862555,1837.0,7.205480506140657,6.246997758667982
sim_91,4.0,1.0,500.0,0.1,1.0,0.03,0.3,2.0,762.0,664.0,1728.0,8.859243190928838,6.779294449434185
sim_92,4.0,1.0,500.0,0.1,1.0,0.01,0.3,5.0,1741.6,2043.1797375659341,1668.0,10.125420895425544,6.739576756440081
sim_93,4.0,1.0,500.0,0.1,1.0,0.07,0.3,8.0,1788.875,1982.963025216305,2203.0,4.823184329622604,3.5033461151915803
sim_94,4.0,1.0,500.0,0.1,1.0,0.09,0.3,15.0,1422.4666666666667,915.7685927981781,2443.0,3.647328809780599,2.365649316277793
sim_95,4.0,1.0,500.0,0.1,1.0,0.11,0.3,16.0,1397.25,1358.1874180318414,2506.0,3.17822318109849,1.765551910423125
sim_96,4.0,1.0,500.0,0.1,1.0,0.15,0.3,15.0,1537.8666666666666,1063.3995716046197,2590.0,2.8998063048153035,1.541699607662822
sim_97,4.0,1.0,500.0,0.1,1.0,0.13,0.3,19.0,1149.9473684210527,802.0544983244895,2730.0,2.8640493914905956,1.4395529369196272
sim_98,4.0,1.0,500.0,0.1,1.0,0.17,0.3,26.0,938.9615384615385,760.2717368844677,2900.0,2.553553100853882,1.1466838284805603
sim_99,4.0,1.0,500.0,0.1,1.0,0.19,0.3,31.0,696.741935483871,656.4335196048188,3145.0,2.320598994953434,0.9202905910796314
sim_0,4.0,4.84,500.0,0.1,1.0,0.3,0.3,60.0,393.21666666666664,279.43849005142835,3929.0,1.8984090109538825,0.6604975563829475
sim_1,4.0,5.32,500.0,0.1,1.0,0.3,0.3,67.0,352.53731343283584,305.06947231092454,3957.0,1.9058608828336745,0.6674811160574449
sim_2,4.0,4.36,500.0,0.1,1.0,0.3,0.3,58.0,394.7931034482759,275.0367849141017,3909.0,1.9275293783200578,0.7076710489834396
sim_3,4.0,3.4,500.0,0.1,1.0,0.3,0.3,56.0,417.0892857142857,291.1279343706446,3873.0,1.977976349280593,0.7297152429294325
sim_4,4.0,2.92,500.0,0.1,1.0,0.3,0.3,58.0,416.01724137931035,309.21856411346005,3826.0,1.987056775913224,0.7455114234689126
sim_5,4.0,3.88,500.0,0.1,1.0,0.3,0.3,59.0,381.76271186440675,289.7913532873322,3960.0,1.910549022100889,0.7060735145058985
sim_6,4.0,2.44,500.0,0.1,1.0,0.3,0.3,50.0,484.24,369.8259352722575,3714.0,2.02482965458401,0.7501284985724899
sim_7,4.0,1.96,500.0,0.1,1.0,0.3,0.3,52.0,451.6923076923077,371.4161329115663,3830.0,2.003375058494192,0.8029401709245424
sim_8,4.0,1.48,500.0,0.1,1.0,0.3,0.3,58.0,398.87931034482756,369.39601577235493,3755.0,2.0263884798641616,0.7439109648431679
sim_9,4.0,1.0,500.0,0.1,1.0,0.3,0.3,49.0,455.265306122449,343.23138952537334,3758.0,2.030064402780938,0.8057264381951846
